id_detalle,id_venta,id_producto,cantidad,precio_unitario_historico
163,163,14,7,1,50
164,164,4,9,6,00
165,165,4,5,6,00
166,166,7,5,2,50
167,167,6,15,6,00
168,168,17,6,4,00
169,169,5,12,10,50
170,170,4,9,6,00
171,171,8,10,6,00
172,172,16,13,4,00
173,173,4,13,6,00
174,174,20,7,3,00
175,175,10,5,2,00
176,176,4,12,6,00
177,177,16,13,4,00
178,178,20,2,3,00
179,179,17,11,4,00
180,180,11,4,5,50
181,181,3,6,2,50
182,182,11,4,5,50
183,183,11,2,5,50
184,184,15,15,1,50
185,185,18,5,4,00
186,186,14,10,1,50
187,187,9,2,5,50
188,188,3,13,2,50
189,189,1,13,10,50
190,190,8,12,6,00
191,191,7,11,2,50
192,192,15,12,1,50
193,193,8,6,6,00
194,194,19,5,3,00
195,195,10,8,2,00
196,196,7,11,2,50
197,197,14,14,1,50
198,198,3,2,2,50
199,199,8,10,6,00
200,200,19,11,3,00
201,201,8,13,6,00
202,202,17,3,4,00
203,203,1,11,10,50
204,204,11,13,5,50
205,205,18,5,4,00
206,206,4,9,6,00
207,207,17,5,4,00
208,208,20,11,3,00
209,209,14,13,1,50
210,210,17,8,4,00
211,211,20,6,3,00
212,212,11,2,5,50
213,213,14,3,1,50
214,214,15,8,1,50
215,215,4,6,6,00
216,216,6,12,6,00
217,217,9,14,5,50
218,218,9,5,5,50
219,219,15,2,1,50
220,220,1,4,10,50
221,221,11,10,5,50
222,222,7,5,2,50
223,223,11,11,5,50
224,224,13,7,4,50
225,225,17,4,4,00
226,226,9,11,5,50
227,227,4,13,6,00
228,228,17,3,4,00
229,229,18,14,4,00
230,230,11,7,5,50
231,231,16,5,4,00
232,232,19,8,3,00
233,233,18,6,4,00
234,234,8,13,6,00
235,235,1,3,10,50
236,236,15,8,1,50
237,237,10,8,2,00
238,238,15,2,1,50
239,239,2,6,6,00
240,240,5,5,10,50
241,241,7,15,2,50
242,242,3,14,2,50
243,243,19,10,3,00
244,244,8,8,6,00
245,245,1,5,10,50
246,246,3,9,2,50
247,247,14,9,1,50
248,248,1,6,10,50
249,249,3,9,2,50
250,250,6,13,6,00
251,251,6,13,6,00
252,252,6,9,6,00
253,253,6,11,6,00
254,254,11,4,5,50
255,255,3,4,2,50
256,256,3,7,2,50
257,257,5,5,10,50
258,258,8,12,6,00
259,259,13,11,4,50
260,260,15,7,1,50
261,261,7,7,2,50
262,262,9,8,5,50
263,263,11,7,5,50
264,264,20,4,3,00
265,265,17,11,4,00
266,266,3,2,2,50
267,267,1,2,10,50
268,268,17,9,4,00
269,269,14,9,1,50
270,270,11,8,5,50
271,271,14,15,1,50
272,272,4,11,6,00
273,273,2,10,6,00
274,274,7,4,2,50
275,275,2,7,6,00
276,276,3,3,2,50
277,277,1,10,10,50
278,278,5,10,10,50
279,279,2,13,6,00
280,280,13,11,4,50
281,281,20,14,3,00
282,282,7,10,2,50
283,283,14,5,1,50
284,284,18,1,4,00
285,285,17,1,4,00
286,286,13,6,4,50
287,287,15,7,1,50
288,288,5,3,10,50
289,289,7,1,2,50
290,290,6,10,6,00
291,291,4,6,6,00
292,292,3,13,2,50
293,293,16,3,4,00
294,294,12,12,2,00
295,295,4,5,6,00
296,296,15,9,1,50
297,297,20,3,3,00
298,298,1,8,10,50
299,299,7,5,2,50
300,300,10,6,2,00
301,301,11,13,5,50
302,302,3,5,2,50
303,303,5,7,10,50
304,304,4,10,6,00
305,305,1,1,10,50
306,306,6,11,6,00
307,307,2,12,6,00
308,308,9,2,5,50
309,309,8,5,6,00
310,310,5,8,10,50
311,311,20,2,3,00
312,312,3,12,2,50
313,313,4,2,6,00
314,314,1,13,10,50
315,315,7,3,2,50
316,316,16,3,4,00
317,317,9,10,5,50
318,318,12,2,2,00
319,319,1,13,10,50
320,320,15,8,1,50
321,321,2,11,6,00
322,322,6,11,6,00
323,323,17,15,4,00
324,324,12,8,2,00
325,325,5,12,10,50
326,326,13,1,4,50
327,327,6,14,6,00
328,328,3,13,2,50
329,329,17,7,4,00
330,330,15,11,1,50
331,331,2,10,6,00
332,332,4,14,6,00
333,333,15,1,1,50
334,334,11,14,5,50
335,335,5,1,10,50
336,336,16,1,4,00
337,337,20,14,3,00
338,338,19,2,3,00
339,339,18,5,4,00
340,340,4,3,6,00
341,341,1,13,10,50
342,342,12,9,2,00
343,343,7,15,2,50
344,344,4,5,6,00
345,345,18,15,4,00
346,346,18,4,4,00
347,347,9,11,5,50
348,348,20,9,3,00
349,349,17,9,4,00
350,350,16,7,4,00
351,351,17,5,4,00
352,352,15,9,1,50
353,353,13,7,4,50
354,354,18,4,4,00
355,355,3,7,2,50
356,356,4,11,6,00
357,357,11,15,5,50
358,358,10,3,2,00
359,359,1,11,10,50
360,360,4,13,6,00
361,361,19,3,3,00
362,362,7,1,2,50
363,363,4,12,6,00
364,364,20,2,3,00
365,365,13,8,4,50
366,366,10,12,2,00
367,367,7,8,2,50
368,368,10,9,2,00
369,369,18,11,4,00
370,370,6,8,6,00
371,371,16,4,4,00
372,372,16,11,4,00
373,373,6,5,6,00
374,374,1,12,10,50
375,375,15,12,1,50
376,376,10,6,2,00
377,377,17,15,4,00
378,378,6,6,6,00
379,379,16,9,4,00
380,380,16,13,4,00
381,381,17,7,4,00
382,382,15,4,1,50
383,383,16,13,4,00
384,384,13,9,4,50
385,385,11,2,5,50
386,386,14,15,1,50
387,387,6,11,6,00
388,388,6,12,6,00
389,389,1,4,10,50
390,390,10,12,2,00
391,391,5,13,10,50
392,392,5,8,10,50
393,393,9,15,5,50
394,394,2,8,6,00
395,395,2,11,6,00
396,396,14,4,1,50
397,397,8,10,6,00
398,398,7,7,2,50
399,399,2,3,6,00
400,400,14,13,1,50
401,401,11,3,5,50
402,402,3,3,2,50
403,403,12,15,2,00
404,404,18,1,4,00
405,405,5,15,10,50
406,406,6,1,6,00
407,407,9,7,5,50
408,408,20,8,3,00
409,409,17,8,4,00
410,410,19,14,3,00
411,411,5,15,10,50
412,412,1,1,10,50
413,413,15,2,1,50
414,414,9,9,5,50
415,415,3,14,2,50
416,416,17,14,4,00
417,417,16,8,4,00
418,418,5,3,10,50
419,419,16,14,4,00
420,420,13,11,4,50
421,421,3,15,2,50
422,422,18,9,4,00
423,423,10,5,2,00
424,424,7,14,2,50
425,425,7,15,2,50
426,426,1,4,10,50
427,427,7,9,2,50
428,428,15,12,1,50
429,429,4,15,6,00
430,430,1,7,10,50
431,431,16,2,4,00
432,432,16,3,4,00
433,433,9,12,5,50
434,434,16,14,4,00
435,435,1,1,10,50
436,436,2,1,6,00
437,437,7,9,2,50
438,438,11,11,5,50
439,439,16,3,4,00
440,440,12,7,2,00
441,441,1,2,10,50
442,442,14,11,1,50
443,443,10,6,2,00
444,444,13,13,4,50
445,445,2,4,6,00
446,446,3,13,2,50
447,447,18,6,4,00
448,448,12,6,2,00
449,449,3,9,2,50
450,450,2,12,6,00
451,451,7,14,2,50
452,452,12,10,2,00
453,453,3,6,2,50
454,454,1,12,10,50
455,455,13,13,4,50
456,456,7,15,2,50
457,457,19,3,3,00
458,458,2,12,6,00
459,459,10,15,2,00
460,460,6,15,6,00
461,461,6,10,6,00
462,462,8,5,6,00
463,463,8,7,6,00
464,464,17,11,4,00
465,465,11,11,5,50
466,466,12,15,2,00
467,467,13,5,4,50
468,468,15,2,1,50
469,469,20,13,3,00
470,470,3,2,2,50
471,471,11,15,5,50
472,472,12,3,2,00
473,473,20,2,3,00
474,474,13,6,4,50
475,475,18,8,4,00
476,476,3,9,2,50
477,477,2,1,6,00
478,478,13,13,4,50
479,479,18,7,4,00
480,480,12,6,2,00
481,481,4,11,6,00
482,482,12,1,2,00
483,483,4,14,6,00
484,484,14,14,1,50
485,485,4,1,6,00
486,486,14,14,1,50
487,487,3,10,2,50
488,488,8,8,6,00
489,489,2,6,6,00
490,490,14,1,1,50
491,491,17,15,4,00
492,492,14,10,1,50
493,493,15,3,1,50
494,494,6,7,6,00
495,495,12,3,2,00
496,496,11,4,5,50
497,497,19,11,3,00
498,498,8,1,6,00
499,499,8,15,6,00
500,500,11,12,5,50
